Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
88912,CVE-2018-11776,9.8,Critical,10.10.7.69,tcp,8080,Apache Struts Remote Code Execution,Apache Struts 2.3-2.3.34 / 2.5-2.5.16 allow RCE when alwaysSelectFullNamespace=true.,Detected on host 10.10.7.69:8080. Apache Struts 2.3-2.3.34 / 2.5-2.5.16 allow RCE when alwaysSelectFullNamespace=true.,Upgrade to Struts 2.3.35 or 2.5.17.,https://nvd.nist.gov/vuln/detail/CVE-2018-11776,Plugin fired on 10.10.7.69:8080 — Apache Struts Remote Code Execution.
48243,CVE-2021-40438,9.0,Critical,10.10.7.69,tcp,80,Apache HTTP Server mod_proxy SSRF,A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Detected on host 10.10.7.69:80. A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Upgrade Apache to 2.4.51 or later.,https://nvd.nist.gov/vuln/detail/CVE-2021-40438,Plugin fired on 10.10.7.69:80 — Apache HTTP Server mod_proxy SSRF.
12085,CVE-2021-34527,8.8,High,10.10.9.162,tcp,445,Windows Print Spooler Remote Code Execution (PrintNightmare),"Windows Print Spooler performs privileged file operations improperly, enabling RCE.","Detected on host 10.10.9.162:445. Windows Print Spooler performs privileged file operations improperly, enabling RCE.",Apply KB5004945 and disable remote printing if not required.,https://nvd.nist.gov/vuln/detail/CVE-2021-34527,Plugin fired on 10.10.9.162:445 — Windows Print Spooler Remote Code Execution (PrintNightmare).
33929,CVE-2019-0708,9.8,Critical,10.10.9.162,tcp,3389,BlueKeep: Windows RDP Remote Code Execution,An unauthenticated attacker can connect via RDP and execute arbitrary code pre-auth.,Detected on host 10.10.9.162:3389. An unauthenticated attacker can connect via RDP and execute arbitrary code pre-auth.,Apply MS19-0708 and enable Network Level Authentication.,https://nvd.nist.gov/vuln/detail/CVE-2019-0708,Plugin fired on 10.10.9.162:3389 — BlueKeep: Windows RDP Remote Code Execution.
51192,CVE-2022-1388,9.8,Critical,10.10.6.216,tcp,443,F5 BIG-IP iControl REST Authentication Bypass,Undisclosed requests may bypass iControl REST authentication.,Detected on host 10.10.6.216:443. Undisclosed requests may bypass iControl REST authentication.,Upgrade BIG-IP to 16.1.2.2 / 15.1.5.1 / 14.1.4.6 / 13.1.5.,https://nvd.nist.gov/vuln/detail/CVE-2022-1388,Plugin fired on 10.10.6.216:443 — F5 BIG-IP iControl REST Authentication Bypass.
44065,CVE-2017-5638,10.0,Critical,10.10.1.69,tcp,80,Apache Struts Jakarta Multipart Parser RCE (Equifax),Malicious Content-Type header triggers RCE through the multipart parser.,Detected on host 10.10.1.69:80. Malicious Content-Type header triggers RCE through the multipart parser.,Upgrade to Apache Struts 2.3.32 / 2.5.10.1.,https://nvd.nist.gov/vuln/detail/CVE-2017-5638,Plugin fired on 10.10.1.69:80 — Apache Struts Jakarta Multipart Parser RCE (Equifax).
20007,CVE-2021-44228,10.0,Critical,10.10.1.69,tcp,8080,Apache Log4j Remote Code Execution (Log4Shell),Apache Log4j2 <=2.14.1 JNDI features allow attacker-controlled LDAP lookups leading to RCE.,Detected on host 10.10.1.69:8080. Apache Log4j2 <=2.14.1 JNDI features allow attacker-controlled LDAP lookups leading to RCE.,Upgrade Log4j to 2.17.1+ or set log4j2.formatMsgNoLookups=true.,https://nvd.nist.gov/vuln/detail/CVE-2021-44228,Plugin fired on 10.10.1.69:8080 — Apache Log4j Remote Code Execution (Log4Shell).
55976,CVE-2023-44487,7.5,High,10.10.1.69,tcp,443,HTTP/2 Rapid Reset Denial of Service,A flaw in HTTP/2 allows DoS via rapid request cancellation (Rapid Reset).,Detected on host 10.10.1.69:443. A flaw in HTTP/2 allows DoS via rapid request cancellation (Rapid Reset).,Update web server and apply vendor patches for HTTP/2 handling.,https://nvd.nist.gov/vuln/detail/CVE-2023-44487,Plugin fired on 10.10.1.69:443 — HTTP/2 Rapid Reset Denial of Service.
33929,CVE-2019-0708,9.8,Critical,10.10.2.233,tcp,3389,BlueKeep: Windows RDP Remote Code Execution,An unauthenticated attacker can connect via RDP and execute arbitrary code pre-auth.,Detected on host 10.10.2.233:3389. An unauthenticated attacker can connect via RDP and execute arbitrary code pre-auth.,Apply MS19-0708 and enable Network Level Authentication.,https://nvd.nist.gov/vuln/detail/CVE-2019-0708,Plugin fired on 10.10.2.233:3389 — BlueKeep: Windows RDP Remote Code Execution.
12345,CVE-2022-0847,7.8,High,10.10.8.65,tcp,22,Linux Kernel Dirty Pipe Privilege Escalation,A flaw in pipe memory pages allows privilege escalation.,Detected on host 10.10.8.65:22. A flaw in pipe memory pages allows privilege escalation.,Update kernel to 5.16.11 / 5.15.25 / 5.10.102+.,https://nvd.nist.gov/vuln/detail/CVE-2022-0847,Plugin fired on 10.10.8.65:22 — Linux Kernel Dirty Pipe Privilege Escalation.
88912,CVE-2018-11776,9.8,Critical,10.10.8.65,tcp,8080,Apache Struts Remote Code Execution,Apache Struts 2.3-2.3.34 / 2.5-2.5.16 allow RCE when alwaysSelectFullNamespace=true.,Detected on host 10.10.8.65:8080. Apache Struts 2.3-2.3.34 / 2.5-2.5.16 allow RCE when alwaysSelectFullNamespace=true.,Upgrade to Struts 2.3.35 or 2.5.17.,https://nvd.nist.gov/vuln/detail/CVE-2018-11776,Plugin fired on 10.10.8.65:8080 — Apache Struts Remote Code Execution.
48243,CVE-2021-40438,9.0,Critical,10.10.9.181,tcp,80,Apache HTTP Server mod_proxy SSRF,A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Detected on host 10.10.9.181:80. A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Upgrade Apache to 2.4.51 or later.,https://nvd.nist.gov/vuln/detail/CVE-2021-40438,Plugin fired on 10.10.9.181:80 — Apache HTTP Server mod_proxy SSRF.
10107,CVE-2014-0160,5.0,Medium,10.10.9.181,tcp,443,OpenSSL Heartbleed Information Disclosure,OpenSSL 1.0.1 through 1.0.1f allows remote attackers to read process memory.,Detected on host 10.10.9.181:443. OpenSSL 1.0.1 through 1.0.1f allows remote attackers to read process memory.,Upgrade OpenSSL to 1.0.1g or later.,https://nvd.nist.gov/vuln/detail/CVE-2014-0160,Plugin fired on 10.10.9.181:443 — OpenSSL Heartbleed Information Disclosure.
56984,CVE-2020-1472,10.0,Critical,10.10.9.181,tcp,135,Netlogon Privilege Escalation (Zerologon),An attacker can establish an unauthenticated Netlogon channel to escalate to Domain Admin.,Detected on host 10.10.9.181:135. An attacker can establish an unauthenticated Netlogon channel to escalate to Domain Admin.,Apply the August 2020 cumulative update and enforce secure channel.,https://nvd.nist.gov/vuln/detail/CVE-2020-1472,Plugin fired on 10.10.9.181:135 — Netlogon Privilege Escalation (Zerologon).
12345,CVE-2022-0847,7.8,High,10.10.9.181,tcp,22,Linux Kernel Dirty Pipe Privilege Escalation,A flaw in pipe memory pages allows privilege escalation.,Detected on host 10.10.9.181:22. A flaw in pipe memory pages allows privilege escalation.,Update kernel to 5.16.11 / 5.15.25 / 5.10.102+.,https://nvd.nist.gov/vuln/detail/CVE-2022-0847,Plugin fired on 10.10.9.181:22 — Linux Kernel Dirty Pipe Privilege Escalation.
56984,CVE-2020-1472,10.0,Critical,10.10.3.75,tcp,135,Netlogon Privilege Escalation (Zerologon),An attacker can establish an unauthenticated Netlogon channel to escalate to Domain Admin.,Detected on host 10.10.3.75:135. An attacker can establish an unauthenticated Netlogon channel to escalate to Domain Admin.,Apply the August 2020 cumulative update and enforce secure channel.,https://nvd.nist.gov/vuln/detail/CVE-2020-1472,Plugin fired on 10.10.3.75:135 — Netlogon Privilege Escalation (Zerologon).
23910,CVE-2021-4034,7.8,High,10.10.3.75,tcp,22,Linux polkit Local Privilege Escalation (PwnKit),polkit pkexec allows unprivileged users to escalate to root.,Detected on host 10.10.3.75:22. polkit pkexec allows unprivileged users to escalate to root.,Update polkit via distribution package manager.,https://nvd.nist.gov/vuln/detail/CVE-2021-4034,Plugin fired on 10.10.3.75:22 — Linux polkit Local Privilege Escalation (PwnKit).
10107,CVE-2014-0160,5.0,Medium,10.10.3.75,tcp,443,OpenSSL Heartbleed Information Disclosure,OpenSSL 1.0.1 through 1.0.1f allows remote attackers to read process memory.,Detected on host 10.10.3.75:443. OpenSSL 1.0.1 through 1.0.1f allows remote attackers to read process memory.,Upgrade OpenSSL to 1.0.1g or later.,https://nvd.nist.gov/vuln/detail/CVE-2014-0160,Plugin fired on 10.10.3.75:443 — OpenSSL Heartbleed Information Disclosure.
12085,CVE-2021-34527,8.8,High,10.10.3.75,tcp,445,Windows Print Spooler Remote Code Execution (PrintNightmare),"Windows Print Spooler performs privileged file operations improperly, enabling RCE.","Detected on host 10.10.3.75:445. Windows Print Spooler performs privileged file operations improperly, enabling RCE.",Apply KB5004945 and disable remote printing if not required.,https://nvd.nist.gov/vuln/detail/CVE-2021-34527,Plugin fired on 10.10.3.75:445 — Windows Print Spooler Remote Code Execution (PrintNightmare).
